id_serie;n_temporada;n_orden;fecha_estreno;titulo;duracion
1;1;1;24/09/2007;Pilot;30
1;1;2;01/10/2007;The Big Bran Hypothesis;30
1;1;3;08/10/2007;The Fuzzy Boots Corollary;30
1;1;4;15/10/2007;The Luminous Fish Effect;30
1;1;5;22/10/2007;The Hamburger Postulate;30
1;1;6;29/10/2007;The Middle-Earth Paradigm;30
1;1;7;05/11/2007;The Dumpling Paradox;30
1;1;8;12/11/2007;The Grasshopper Experiment;30
1;1;9;17/03/2008;The Cooper-Hofstadter Polarization;30
1;1;10;24/03/2008;The Loobenfeld Decay;30
1;1;11;31/03/2008;The Pancake Batter Anomaly;30
1;1;12;14/04/2008;The Jerusalem Duality;30
1;1;13;21/04/2008;The Bat Jar Conjecture;30
1;1;14;28/04/2008;The Nerdvana Annihilation;30
1;1;15;05/05/2008;The Pork Chop Indeterminacy;30
1;1;16;12/05/2008;The Peanut Reaction;30
1;1;17;19/05/2008;The Tangerine Factor;30
1;2;1;22/09/2008;The Bad Fish Paradigm;30
1;2;2;29/09/2008;The Codpiece Topology;30
1;2;3;06/10/2008;The Barbarian Sublimation;30
1;2;4;13/10/2008;The Griffin Equivalency;30
1;2;5;20/10/2008;The Euclid Alternative;30
1;2;6;03/11/2008;The Cooper-Nowitzki Theorem;30
1;2;7;10/11/2008;The Panty Pinata Polarization;30
1;2;8;17/11/2008;The Lizard-Spock Expansion;30
1;2;9;24/11/2008;The White Asparagus Triangulation;30
1;2;10;08/12/2008;The Vartabedian Conundrum;30
1;2;11;15/12/2008;The Bath Item Gift Hypothesis;30
1;2;12;12/01/2009;The Killer Robot Instability;30
1;2;13;19/01/2009;The Friendship Algorithm;30
1;2;14;02/02/2009;The Financial Permeability;30
1;2;15;09/02/2009;The Maternal Capacitance;30
1;2;16;02/03/2009;The Cushion Saturation;30
1;2;17;09/03/2009;The Terminator Decoupling;30
1;2;18;16/03/2009;The Work Song Nanocluster;30
1;2;19;30/03/2009;The Dead Hooker Juxtaposition;30
1;2;20;13/04/2009;The Hofstadter Isotope;30
1;2;21;27/04/2009;The Vegas Renormalization;30
1;2;22;04/05/2009;The Classified Materials Turbulence;30
1;2;23;11/05/2009;The Monopolar Expedition;30
1;3;1;21/09/2009;The Electric Can Opener Fluctuation;30
1;3;2;28/09/2009;The Jiminy Conjecture;30
1;3;3;05/10/2009;The Gothowitz Deviation;30
1;3;4;12/10/2009;The Pirate Solution;30
1;3;5;19/10/2009;The Creepy Candy Coating Corollary;30
1;3;6;02/11/2009;The Cornhusker Vortex;30
1;3;7;09/11/2009;The Guitarist Amplification;30
1;3;8;16/11/2009;The Adhesive Duck Deficiency;30
1;3;9;23/11/2009;The Vengeance Formulation;30
1;3;10;07/12/2009;The Gorilla Experiment;30
1;3;11;14/12/2009;The Maternal Congruence;30
1;3;12;11/01/2010;The Psychic Vortex;30
1;3;13;18/01/2010;The Bozeman Reaction;30
1;3;14;01/02/2010;The Einstein Approximation;30
1;3;15;08/02/2010;The Large Hadron Collision;30
1;3;16;01/03/2010;The Excelsior Acquisition;30
1;3;17;08/03/2010;The Precious Fragmentation;30
1;3;18;22/03/2010;The Pants Alternative;30
1;3;19;12/04/2010;The Wheaton Recurrence;30
1;3;20;03/05/2010;The Spaghetti Catalyst;30
1;3;21;10/05/2010;The Plimpton Stimulation;30
1;3;22;17/05/2010;The Staircase Implementation;30
1;3;23;24/05/2010;The Lunar Excitation;30
1;4;1;23/09/2010;The Robotic Manipulation;30
1;4;2;30/09/2010;The Cruciferous Vegetable Amplification;30
1;4;3;07/10/2010;The Zazzy Substitution;30
1;4;4;14/10/2010;The Hot Troll Deviation;30
1;4;5;21/10/2010;The Desperation Emanation;30
1;4;6;28/10/2010;The Irish Pub Formulation;30
1;4;7;04/11/2010;The Apology Insufficiency;30
1;4;8;11/11/2010;The 21-Second Excitation;30
1;4;9;18/11/2010;The Boyfriend Complexity;30
1;4;10;09/12/2010;The Alien Parasite Hypothesis;30
1;4;11;16/12/2010;The Justice League Recombination;30
1;4;12;06/01/2011;The Bus Pants Utilization;30
1;4;13;20/01/2011;The Love Car Displacement;30
1;4;14;03/02/2011;The Thespian Catalyst;30
1;4;15;10/02/2011;The Benefactor Factor;30
1;4;16;17/02/2011;The Cohabitation Formulation;30
1;4;17;24/02/2011;The Toast Derivation;30
1;4;18;10/03/2011;The Prestidigitation Approximation;30
1;4;19;31/03/2011;The Zarnecki Incursion;30
1;4;20;07/04/2011;The Herb Garden Germination;30
1;4;21;28/04/2011;The Agreement Dissection;30
1;4;22;05/05/2011;The Wildebeest Implementation;30
1;4;23;12/05/2011;The Engagement Reaction;30
1;4;24;19/05/2011;The Roommate Transmogrification;30
1;5;1;22/09/2011;The Skank Reflex Analysis;30
1;5;2;22/09/2011;The Infestation Hypothesis;30
1;5;3;29/09/2011;The Pulled Groin Extrapolation;30
1;5;4;06/10/2011;The Wiggly Finger Catalyst;30
1;5;5;13/10/2011;The Russian Rocket Reaction;30
1;5;6;20/10/2011;The Rhinitis Revelation;30
1;5;7;27/10/2011;The Good Guy Fluctuation;30
1;5;8;03/11/2011;The Isolation Permutation;30
1;5;9;10/11/2011;The Ornithophobia Diffusion;30
1;5;10;17/11/2011;The Flaming Spittoon Acquisition;30
1;5;11;08/12/2011;The Speckerman Recurrence;30
1;5;12;12/01/2012;The Shiny Trinket Maneuver;30
1;5;13;19/01/2012;The Recombination Hypothesis;30
1;5;14;26/01/2012;The Beta Test Initiation;30
1;5;15;02/02/2012;The Friendship Contraction;30
1;5;16;09/02/2012;The Vacation Solution;30
1;5;17;16/02/2012;The Rothman Disintegration;30
1;5;18;23/02/2012;The Werewolf Transformation;30
1;5;19;08/03/2012;The Weekend Vortex;30
1;5;20;29/03/2012;The Transporter Malfunction;30
1;5;21;05/04/2012;The Hawking Excitation;30
1;5;22;26/04/2012;The Stag Convergence;30
1;5;23;03/05/2012;The Launch Acceleration;30
1;5;24;10/05/2012;The Countdown Reflection;30
1;6;1;27/09/2012;The Date Night Variable;30
1;6;2;04/10/2012;The Decoupling Fluctuation;30
1;6;3;11/10/2012;The Higgs Boson Observation;30
1;6;4;18/10/2012;The Re-Entry Minimization;30
1;6;5;25/10/2012;The Holographic Excitation;30
1;6;6;01/11/2012;The Extract Obliteration;30
1;6;7;08/11/2012;The Habitation Configuration;30
1;6;8;15/11/2012;The 43 Peculiarity;30
1;6;9;29/11/2012;The Parking Spot Escalation;30
1;6;10;06/12/2012;The Fish Guts Displacement;30
1;6;11;13/12/2012;The Santa Simulation;30
1;6;12;03/01/2013;The Egg Salad Equivalency;30
1;6;13;10/01/2013;The Bakersfield Expedition;30
1;6;14;31/01/2013;The Cooper/Kripke Inversion;30
1;6;15;07/02/2013;The Spoiler Alert Segmentation;30
1;6;16;14/02/2013;The Tangible Affection Proof;30
1;6;17;21/02/2013;The Monster Isolation;30
1;6;18;07/03/2013;The Contractual Obligation Implementation;30
1;6;19;14/03/2013;The Closet Reconfiguration;30
1;6;20;04/04/2013;The Tenure Turbulence;30
1;6;21;25/04/2013;The Closure Alternative;30
1;6;22;02/05/2013;The Proton Resurgence;30
1;6;23;09/05/2013;The Love Spell Potential;30
1;6;24;16/05/2013;The Bon Voyage Reaction;30
1;7;1;26/09/2013;The Hofstadter Insufficiency;30
1;7;2;26/09/2013;The Deception Verification;30
1;7;3;03/10/2013;The Scavenger Vortex;30
1;7;4;10/10/2013;The Raiders Minimization;30
1;7;5;17/10/2013;The Workplace Proximity;30
1;7;6;24/10/2013;The Romance Resonance;30
1;7;7;07/11/2013;The Proton Displacement;30
1;7;8;14/11/2013;The Itchy Brain Simulation;30
1;7;9;21/11/2013;The Thanksgiving Decoupling;30
1;7;10;05/12/2013;The Discovery Dissipation;30
1;7;11;12/12/2013;The Cooper Extraction;30
1;7;12;02/01/2014;The Hesitation Ramification;30
1;7;13;09/01/2014;The Occupation Recalibration;30
1;7;14;30/01/2014;The Convention Conundrum;30
1;7;15;06/02/2014;The Locomotive Manipulation;30
1;7;16;27/02/2014;The Table Polarization;30
1;7;17;06/03/2014;The Friendship Turbulence;30
1;7;18;13/03/2014;The Mommy Observation;30
1;7;19;03/04/2014;The Indecision Amalgamation;30
1;7;20;10/04/2014;The Relationship Diremption;30
1;7;21;24/04/2014;The Anything Can Happen Recurrence;30
1;7;22;01/05/2014;The Proton Transmogrification;30
1;7;23;08/05/2014;The Gorilla Dissolution;30
1;7;24;15/05/2014;The Status Quo Combustion;30
1;8;1;22/09/2014;The Locomotion Interruption;30
1;8;2;22/09/2014;The Junior Professor Solution;30
